cluster,sim,modele
22,0.6991464495658875,nmf_frobenius
25,0.284619003534317,nmf_frobenius
32,0.5017468333244324,nmf_frobenius
48,0.5341262221336365,nmf_frobenius
50,0.44057217240333557,nmf_frobenius
94,0.5888612270355225,nmf_frobenius
106,0.6058095097541809,nmf_frobenius
108,0.5656448602676392,nmf_frobenius
117,0.5427817702293396,nmf_frobenius
118,0.39343082904815674,nmf_frobenius
119,0.3635478913784027,nmf_frobenius
120,0.6257686614990234,nmf_frobenius
121,0.5758089423179626,nmf_frobenius
124,0.5510305166244507,nmf_frobenius
125,0.670263946056366,nmf_frobenius
126,0.4873385429382324,nmf_frobenius
127,0.5166561007499695,nmf_frobenius
128,0.515993058681488,nmf_frobenius
130,0.5365548133850098,nmf_frobenius
10,0.4319433867931366,top2vec
11,0.4358786344528198,top2vec
22,0.43457233905792236,top2vec
51,0.47574958205223083,top2vec
102,0.5118151307106018,top2vec
145,0.4342016577720642,top2vec
238,0.4802178144454956,top2vec
251,0.6442895531654358,top2vec
252,0.6817899346351624,top2vec
267,0.5104817748069763,top2vec
272,0.41543471813201904,top2vec
274,0.3880161643028259,top2vec
279,0.4369434416294098,top2vec
280,0.44800660014152527,top2vec
281,0.4379901885986328,top2vec
282,0.4394419491291046,top2vec
284,0.51747065782547,top2vec
285,0.3420987129211426,top2vec
286,0.4137021601200104,top2vec
0,0.6522035002708435,bert_hdbscan
1,0.4316480755805969,bert_hdbscan
56,0.38115668296813965,bert_hdbscan
79,0.45845961570739746,bert_hdbscan
83,0.44310301542282104,bert_hdbscan
87,0.3994547426700592,bert_hdbscan
106,0.5007662177085876,bert_hdbscan
123,0.649603009223938,bert_hdbscan
160,0.5261255502700806,bert_hdbscan
169,0.554757833480835,bert_hdbscan
170,0.42563924193382263,bert_hdbscan
177,0.4183807373046875,bert_hdbscan
179,0.47335830330848694,bert_hdbscan
184,0.4392443299293518,bert_hdbscan
187,0.47521308064460754,bert_hdbscan
190,0.4801490604877472,bert_hdbscan
191,0.5166932344436646,bert_hdbscan
193,0.4294302463531494,bert_hdbscan
1,0.551856517791748,nmf_kullback
36,0.36467480659484863,nmf_kullback
50,0.37183877825737,nmf_kullback
83,0.560923159122467,nmf_kullback
108,0.5995575189590454,nmf_kullback
114,0.2944566309452057,nmf_kullback
119,0.3913373351097107,nmf_kullback
121,0.4396873712539673,nmf_kullback
124,0.34903615713119507,nmf_kullback
125,0.5252277851104736,nmf_kullback
127,0.46665340662002563,nmf_kullback
129,0.35370346903800964,nmf_kullback
130,0.2578253448009491,nmf_kullback
131,0.4438222348690033,nmf_kullback
132,0.4534282684326172,nmf_kullback
133,0.5402206778526306,nmf_kullback
0,0.6991464495658875,blend_model
2,0.5017468333244324,blend_model
3,0.5341262221336365,blend_model
5,0.5888612270355225,blend_model
6,0.6058095097541809,blend_model
11,0.6257686614990234,blend_model
12,0.5758089423179626,blend_model
13,0.5510305166244507,blend_model
14,0.670263946056366,blend_model
16,0.5166561007499695,blend_model
17,0.515993058681488,blend_model
23,0.5118151307106018,blend_model
26,0.6442895531654358,blend_model
38,0.6522035002708435,blend_model
44,0.5007662177085876,blend_model
45,0.649603009223938,blend_model
46,0.5261255502700806,blend_model
53,0.4801490604877472,blend_model
59,0.560923159122467,blend_model
71,0.5402206778526306,blend_model
