cluster,sim,modele
14,0.4582004249095917,nmf_frobenius
22,0.4596838355064392,nmf_frobenius
25,0.49656999111175537,nmf_frobenius
32,0.39971575140953064,nmf_frobenius
48,0.4778546392917633,nmf_frobenius
50,0.34731432795524597,nmf_frobenius
95,0.40304359793663025,nmf_frobenius
107,0.38176825642585754,nmf_frobenius
108,0.4209206700325012,nmf_frobenius
117,0.3470386862754822,nmf_frobenius
118,0.4038311839103699,nmf_frobenius
119,0.4555610120296478,nmf_frobenius
121,0.3885083794593811,nmf_frobenius
124,0.3746209144592285,nmf_frobenius
125,0.3521236181259155,nmf_frobenius
126,0.39039531350135803,nmf_frobenius
127,0.42345696687698364,nmf_frobenius
128,0.36260101199150085,nmf_frobenius
130,0.40575289726257324,nmf_frobenius
4,0.4681551456451416,top2vec
10,0.5055529475212097,top2vec
11,0.4825320243835449,top2vec
23,0.4695564806461334,top2vec
35,0.48717066645622253,top2vec
36,0.4543689489364624,top2vec
37,0.47028252482414246,top2vec
39,0.4532131552696228,top2vec
54,0.4745354950428009,top2vec
56,0.38347914814949036,top2vec
82,0.4421525299549103,top2vec
87,0.6667678356170654,top2vec
92,0.6090413928031921,top2vec
95,0.5660349726676941,top2vec
98,0.4510514438152313,top2vec
126,0.5098071098327637,top2vec
129,0.44655343890190125,top2vec
131,0.49160751700401306,top2vec
153,0.5164911150932312,top2vec
156,0.44367721676826477,top2vec
181,0.45613664388656616,top2vec
190,0.41269081830978394,top2vec
224,0.37200722098350525,top2vec
227,0.5804468393325806,top2vec
229,0.4263271391391754,top2vec
232,0.4281001389026642,top2vec
239,0.41400831937789917,top2vec
241,0.39599573612213135,top2vec
245,0.4195529520511627,top2vec
248,0.3813362121582031,top2vec
249,0.38865917921066284,top2vec
252,0.40994468331336975,top2vec
254,0.3957844078540802,top2vec
255,0.41318538784980774,top2vec
258,0.44024068117141724,top2vec
259,0.5063044428825378,top2vec
261,0.38687077164649963,top2vec
265,0.4103110730648041,top2vec
266,0.40488260984420776,top2vec
267,0.44522345066070557,top2vec
268,0.39467519521713257,top2vec
269,0.3751198947429657,top2vec
0,0.4636787176132202,bert_hdbscan
8,0.6043939590454102,bert_hdbscan
25,0.5662415027618408,bert_hdbscan
35,0.49263057112693787,bert_hdbscan
70,0.25722673535346985,bert_hdbscan
84,0.2854521572589874,bert_hdbscan
106,0.36034685373306274,bert_hdbscan
119,0.44428735971450806,bert_hdbscan
125,0.35780173540115356,bert_hdbscan
130,0.2688045799732208,bert_hdbscan
148,0.32397177815437317,bert_hdbscan
154,0.3039665222167969,bert_hdbscan
164,0.3852536976337433,bert_hdbscan
168,0.2905678153038025,bert_hdbscan
169,0.18458275496959686,bert_hdbscan
173,0.2269361913204193,bert_hdbscan
178,0.29947134852409363,bert_hdbscan
181,0.2800436019897461,bert_hdbscan
183,0.20589257776737213,bert_hdbscan
184,0.16008341312408447,bert_hdbscan
185,0.18164800107479095,bert_hdbscan
187,0.13661617040634155,bert_hdbscan
32,0.41136661171913147,nmf_kullback
36,0.3392849564552307,nmf_kullback
48,0.399460107088089,nmf_kullback
50,0.36111316084861755,nmf_kullback
76,0.4476955831050873,nmf_kullback
83,0.4328867197036743,nmf_kullback
107,0.3921143412590027,nmf_kullback
119,0.3728350102901459,nmf_kullback
125,0.35269278287887573,nmf_kullback
126,0.3665643334388733,nmf_kullback
128,0.354854553937912,nmf_kullback
129,0.42649099230766296,nmf_kullback
132,0.37400519847869873,nmf_kullback
133,0.3737431466579437,nmf_kullback
134,0.38355958461761475,nmf_kullback
3,0.39971575140953064,blend_model
12,0.3885083794593811,blend_model
105,0.46565771102905273,blend_model
107,0.40938010811805725,blend_model
109,0.3470386862754822,blend_model
113,0.46045610308647156,blend_model
119,0.38176825642585754,blend_model
122,0.3540811836719513,blend_model
127,0.3765038847923279,blend_model
128,0.40575289726257324,blend_model
129,0.3933209478855133,blend_model
130,0.3568990230560303,blend_model
131,0.43432846665382385,blend_model
