cluster,sim,modele
7,0.43579256534576416,top2vec
8,0.402908056974411,top2vec
25,0.423245906829834,top2vec
50,0.4667731821537018,top2vec
96,0.7213680148124695,top2vec
116,0.3842756748199463,top2vec
154,0.4737800061702728,top2vec
229,0.5017681121826172,top2vec
271,0.5158173441886902,top2vec
272,0.5053325891494751,top2vec
284,0.4348824620246887,top2vec
294,0.44283196330070496,top2vec
296,0.4893694519996643,top2vec
299,0.4420085847377777,top2vec
300,0.38492125272750854,top2vec
301,0.37362322211265564,top2vec
302,0.3248463273048401,top2vec
0,0.6212291717529297,bert_hdbscan
2,0.3369876444339752,bert_hdbscan
15,0.5188596844673157,bert_hdbscan
34,0.5461465120315552,bert_hdbscan
53,0.5180738568305969,bert_hdbscan
58,0.3632467985153198,bert_hdbscan
66,0.41660431027412415,bert_hdbscan
74,0.34395086765289307,bert_hdbscan
82,0.43864211440086365,bert_hdbscan
90,0.38666489720344543,bert_hdbscan
108,0.594438910484314,bert_hdbscan
133,0.7068724036216736,bert_hdbscan
157,0.5450053811073303,bert_hdbscan
163,0.4643217921257019,bert_hdbscan
174,0.4324393570423126,bert_hdbscan
177,0.4779098629951477,bert_hdbscan
179,0.4202623963356018,bert_hdbscan
180,0.5915616154670715,bert_hdbscan
182,0.4201796352863312,bert_hdbscan
183,0.35104992985725403,bert_hdbscan
184,0.47353705763816833,bert_hdbscan
185,0.4989215135574341,bert_hdbscan
186,0.4321441650390625,bert_hdbscan
187,0.46372687816619873,bert_hdbscan
22,0.6992219090461731,nmf_frobenius
25,0.28530484437942505,nmf_frobenius
32,0.5012267231941223,nmf_frobenius
48,0.5323807597160339,nmf_frobenius
50,0.4475638270378113,nmf_frobenius
95,0.5912925004959106,nmf_frobenius
106,0.6058983206748962,nmf_frobenius
108,0.571655809879303,nmf_frobenius
117,0.5393210649490356,nmf_frobenius
118,0.625939130783081,nmf_frobenius
119,0.36080214381217957,nmf_frobenius
120,0.5806614756584167,nmf_frobenius
121,0.3939235210418701,nmf_frobenius
123,0.5206410884857178,nmf_frobenius
124,0.5513064861297607,nmf_frobenius
125,0.6775355935096741,nmf_frobenius
127,0.4911876320838928,nmf_frobenius
128,0.5222563743591309,nmf_frobenius
130,0.5232183933258057,nmf_frobenius
1,0.5487531423568726,nmf_kullback
36,0.3635883033275604,nmf_kullback
37,0.2839214503765106,nmf_kullback
40,0.532958984375,nmf_kullback
83,0.5585986971855164,nmf_kullback
116,0.43621188402175903,nmf_kullback
119,0.5279601812362671,nmf_kullback
126,0.5280284285545349,nmf_kullback
129,0.44268926978111267,nmf_kullback
131,0.5074788928031921,nmf_kullback
132,0.45270270109176636,nmf_kullback
133,0.5262174606323242,nmf_kullback
134,0.3208518326282501,nmf_kullback
135,0.3096941411495209,nmf_kullback
17,0.6212291717529297,blend_model
20,0.5461465120315552,blend_model
27,0.594438910484314,blend_model
28,0.7068724036216736,blend_model
29,0.5450053811073303,blend_model
41,0.6992219090461731,blend_model
43,0.5012267231941223,blend_model
44,0.5323807597160339,blend_model
46,0.5912925004959106,blend_model
47,0.6058983206748962,blend_model
50,0.625939130783081,blend_model
52,0.5806614756584167,blend_model
54,0.5206410884857178,blend_model
55,0.5513064861297607,blend_model
56,0.6775355935096741,blend_model
58,0.5222563743591309,blend_model
63,0.532958984375,blend_model
64,0.5585986971855164,blend_model
71,0.5262174606323242,blend_model
